username,rating,date,id,consolidated_feedback,subjectivity,polarity,score
Associate Sensory Scientist,3,2023-12-08T00:00:00.000Z,82435845,"Good company to work for  Lots of resources, friendly staff  High benefit cost, company too big",0.43500000000000005,0.30874999999999997,positive
Tax and Finance Director,5,2023-12-14T00:00:00.000Z,82592783,"Great professional experience  Professional growth, company of values, social responsibility  Slow decision making process. Burocrático.",0.2833333333333333,0.14666666666666667,positive
Graduate Engineer Trainee in Dh?rw?d,5,2023-12-08T00:00:00.000Z,82435068,Excellent Organization  Excellent Team to work with.  The travel services offered by the company should be improved.,1.0,1.0,positive
"Grain Merchandiser in Evansville, IN",5,2023-12-07T00:00:00.000Z,82410737,"Great Company  Autonomy, ability to make decisions and own mistakes. Your opinion matters. Good benefits, work life balance.  Have to work on site, old office space",0.6375000000000001,0.5499999999999999,positive
Grain Elevator Worker,5,2023-12-04T00:00:00.000Z,82318969,Great Management makes working here a good experience.  Every day is something different.  There are times when long hours are required.,0.5875,0.3625,positive
"Content Reviewer in Saugus, MA",3,2023-11-23T00:00:00.000Z,82055115,I will review people to get better  Because they will give best to their employee  I want betterment for people who cant know to what is good or bad Advice to Management:They first noticed what their employees needed then they worked on issues,0.4800000000000001,0.3500000000000001,positive
Associate in Mumbai,4,2023-11-19T00:00:00.000Z,81946618,Salary  Its good as industry standerd  Not cons there. it is a good company to work Advice to Management:They are doing great to inprove the services,0.65,0.7333333333333334,positive
Class A Truck Driver,5,2023-11-08T00:00:00.000Z,81663074,Driver  I love it good pay new trucks. 545 miles per day every day 6 days per week .67 hours a week  Two many boss dispatcer was always. Hard to deal with Advice to Management:Get some friendlier in the dispatch room,0.5392424242424243,0.30893939393939396,positive
"Commodity Merchandiser Intern in Lloydminster, AB",4,2023-11-01T00:00:00.000Z,81469143,"Canola Merchandiser Intern  The team was good and worked well together Great introduction to canola merchandising Had the ability to pursue projects I found interesting Provided an apartment for work term If you do a good job, there is a good chance you can find a position after graduation  Compensation could be increased to be more competitive Lloydminster may not be the city for everyone (I liked it)",0.6214285714285716,0.6428571428571429,positive
"Global Senior Project/Portfolio Manager in São Paulo, São Paulo",5,2023-11-01T00:00:00.000Z,81466994,"Excellent company  Global company; High Performance Teams; Focuses on desired results, and sets and achieves challenging goals.  Nothing important to add or report",0.708,0.41200000000000003,positive
"Operator 2 in Cedar Rapids, IA",4,2023-10-25T00:00:00.000Z,81273749,"Overall wasnt a bad place to work  Good people, good pay. Heath insurance was pretty solid. Moral amongst workers was generally high.  Management issues. PTO wasnt the best, but could be worse. Advice to Management:Appreciated working there when I did.",0.4656666666666666,0.17100000000000004,positive
Recruiter,5,2023-10-23T00:00:00.000Z,81176736,"Great!  Inclusive, has diversity, team collaboration, open communication, very open and respectful environment  None that is significant and most are positives",0.6625,0.3958333333333333,positive
"Reliability Engineer Intern in Jackson, TN",5,2023-10-13T00:00:00.000Z,80915458,It is a good company to work for  The people really helped with learning a new role  There wasn't a lot to do some days,0.4181818181818182,0.3454545454545454,positive
Assistant Engineering MaagerEng in L?t?r,4,2023-10-03T00:00:00.000Z,80639882,adm review  great company with good vision  need do raise pay stds,0.675,0.75,positive
"Lab tech 3 in Decatur, IL",4,2023-10-02T00:00:00.000Z,80590135,"Good place to gain experience to help prepare for other laboratory jobs  Lots of overtime so the pay is great  Lots of overtime, so while making good money, you are left with no social life or time to spend earned money Advice to Management:Listen to the employees that work the process directly hand on every day",0.39880952380952384,0.3083333333333334,positive
"Director, Maintenance and Reliability in Decatur, IL",4,2023-12-14T00:00:00.000Z,82596792,"Director, Reliability Program  Ability to make a difference in the over all goals of the company.  Lack of preparing employess for future opportunities.",0.125,0.0,neutral
"Scale probe operator in Evansville, IN",4,2023-12-13T00:00:00.000Z,82568804,good place to work  friendly environment and flexible scheduling  not much room for improvement in current position,0.42500000000000004,0.24375,positive
"Plant Utility in Port Colborne, ON",2,2023-12-07T00:00:00.000Z,82415248,N/A  Pay is decent and a lot of OT.  Scheduling and last minute relief notice.,0.36666666666666664,0.08333333333333333,positive
Senior Software Engineer in Pune,4,2023-11-29T00:00:00.000Z,82168282,"Great Learning and Work  Writing review As a Software developer in the Development team - 1. Good Work Ethics 2. Professional people at Management and Lead position. 3. Learning curve is great as good people are recruited at higher levels who are helpful and appreciating 4. Pay is nice if you can negotiate well.  1. Not many benefits associated with Salary package. 2. No Technical upskill reimbursement 3. Dependencies on US-EU teams, requires working more than 9 hours a day. Advice to Management:Add benefits and more allowances to salary package",0.5363636363636364,0.42727272727272736,positive
"Operations Trainee in Heidelberg, Baden-Wurttemberg",5,2023-11-19T00:00:00.000Z,81938881,Great opportunities  Very motivated to be the best!  Change takes time to happen.,0.45,0.6666666666666666,positive
"IT Manager in Decatur, IL",5,2023-11-15T00:00:00.000Z,81835387,Many opportunities to grow  ADM as one of the world's largest agricultural processors and nutrition based companies offers so many areas to grow your career and experiences. A lot of focus on employee continuous improvement.  Some divisions or projects you may run into some micro-managers.,0.3333333333333333,0.3666666666666667,positive
