title,username,feedback,rating,date,id
Good company to work for,Associate Sensory Scientist,"Pros:Lots of resources, friendly staff Cons:High benefit cost, company too big",3,2023-12-08T00:00:00.000Z,82435845
Great professional experience,Tax and Finance Director,"Pros:Professional growth, company of values, social responsibility Cons:Slow decision making process. Burocrático.",5,2023-12-14T00:00:00.000Z,82592783
Excellent Organization,Graduate Engineer Trainee in Dh?rw?d,Pros:Excellent Team to work with. Cons:The travel services offered by the company should be improved.,5,2023-12-08T00:00:00.000Z,82435068
Great Company,"Grain Merchandiser in Evansville, IN","Pros:Autonomy, ability to make decisions and own mistakes. Your opinion matters. Good benefits, work life balance. Cons:Have to work on site, old office space",5,2023-12-07T00:00:00.000Z,82410737
Great Management makes working here a good experience.,Grain Elevator Worker,Pros:Every day is something different. Cons:There are times when long hours are required.,5,2023-12-04T00:00:00.000Z,82318969
I will review people to get better,"Content Reviewer in Saugus, MA",Pros:Because they will give best to their employee Cons:I want betterment for people who can’t know to what is good or bad Advice to Management:They first noticed what their employees needed then they worked on issues,3,2023-11-23T00:00:00.000Z,82055115
Salary,Associate in Mumbai,Pros:Its good as industry standerd Cons:Not cons there. it is a good company to work Advice to Management:They are doing great to inprove the services,4,2023-11-19T00:00:00.000Z,81946618
Driver,Class A Truck Driver,Pros:I love it good pay new trucks. 545 miles per day every day 6 days per week .67 hours a week Cons:Two many boss dispatcer was always. Hard to deal with Advice to Management:Get some friendlier in the dispatch room,5,2023-11-08T00:00:00.000Z,81663074
Canola Merchandiser Intern,"Commodity Merchandiser Intern in Lloydminster, AB","Pros:The team was good and worked well together Great introduction to canola merchandising Had the ability to pursue projects I found interesting Provided an apartment for work term If you do a good job, there is a good chance you can find a position after graduation Cons:Compensation could be increased to be more competitive Lloydminster may not be the city for everyone (I liked it)",4,2023-11-01T00:00:00.000Z,81469143
Excellent company,"Global Senior Project/Portfolio Manager in São Paulo, São Paulo","Pros:Global company; High Performance Teams; Focuses on desired results, and sets and achieves challenging goals. Cons:Nothing important to add or report",5,2023-11-01T00:00:00.000Z,81466994
Overall wasn’t a bad place to work,"Operator 2 in Cedar Rapids, IA","Pros:Good people, good pay. Heath insurance was pretty solid. Moral amongst workers was generally high. Cons:Management issues. PTO wasn’t the best, but could be worse. Advice to Management:Appreciated working there when I did.",4,2023-10-25T00:00:00.000Z,81273749
Great!,Recruiter,"Pros:Inclusive, has diversity, team collaboration, open communication, very open and respectful environment Cons:None that is significant and most are positives",5,2023-10-23T00:00:00.000Z,81176736
It is a good company to work for,"Reliability Engineer Intern in Jackson, TN",Pros:The people really helped with learning a new role Cons:There wasn't a lot to do some days,5,2023-10-13T00:00:00.000Z,80915458
adm review,Assistant Engineering MaagerEng in L?t?r,Pros:great company with good vision Cons:need do raise pay stds,4,2023-10-03T00:00:00.000Z,80639882
Good place to gain experience to help prepare for other laboratory jobs,"Lab tech 3 in Decatur, IL","Pros:Lots of overtime so the pay is great Cons:Lots of overtime, so while making good money, you are left with no social life or time to spend earned money Advice to Management:Listen to the employees that work the process directly hand on every day",4,2023-10-02T00:00:00.000Z,80590135
"Director, Reliability Program","Director, Maintenance and Reliability in Decatur, IL",Pros:Ability to make a difference in the over all goals of the company. Cons:Lack of preparing employess for future opportunities.,4,2023-12-14T00:00:00.000Z,82596792
good place to work,"Scale probe operator in Evansville, IN",Pros:friendly environment and flexible scheduling Cons:not much room for improvement in current position,4,2023-12-13T00:00:00.000Z,82568804
N/A,"Plant Utility in Port Colborne, ON",Pros:Pay is decent and a lot of OT. Cons:Scheduling and last minute relief notice.,2,2023-12-07T00:00:00.000Z,82415248
